Variable 801,
BitField,BitField Description
bit0,not used
bit1,Gas Supplies OK
bit2,AC Mains Power OK
bit3,Battery Charge OK
bit4,Manual Circuit Leak OK
bit5,Vent Circuit Leak OK
bit6,Flow Controls OK
bit7,not used
Variable 802,
BitField,BitField Description
bit0,not used
bit1,Vent Delivery OK
bit2-bit3,not used
bit4,Circuit O2 Cell Checked
bit5-bit7,not used
Variable 803,
BitField,BitField Description
bit0,Airway Pressure Sensor OK
bit1,Barometric Pressure OK
bit2,Safety Valve OK
bit3,Exhalation Valve OK
bit4,O2 Conc. Sensor OK
bit5,O2 Flow Sensor OK
bit6,Air Flow Sensor OK
bit7,not used
Variable 804,
BitField,BitField Description
bit0,Expiratory Flow Sensor OK
bit1,Inspiratory Flow Sensor OK
bit2-bit7,not used
